texto,categoria
'O Python é uma linguagem de programação', programação
'programação é criar softwares', programação
'No código simplicidade é o último grau de sofisticação', programação
'Não basta saber programar é preciso saber solucionar problemas', programação
'A melhor maneira de prever o futuro é implementá-lo', programação
'Erros são parte do processo de aprendizado na programação', programação
'Todo grande programa começa com uma linha de código', programação
'A programação é a arte de criar soluções inteligentes para problemas complexos', programação
'O código bem escrito é aquele que qualquer programador pode entender', programação

'Eu sou um desenvolvedor de sistemas', profissão
'Desenvolvedor é criar e criar é meu trabalho', profissão
'As profissões de tecnologia são o novo alicerce da economia global', profissão
'Trabalhar com tecnologia é construir o futuro', profissão
'Inovar é a missão diária de quem trabalha com tecnologia', profissão
'Ser um profissional de TI é estar preparado para resolver problemas', profissão
'A curiosidade e a criatividade são os melhores amigos dos profissionais', profissão
'A colaboração é a chave para o sucesso', profissão
'Transformam ideias em realidade com suas habilidades', profissão

'Dados são importantes na tecnologia', dados
'Big data significa muitos dados', dados
'Dados geram informação', dados
'Dados são o novo petróleo', dados
'Na era da informação dados bem utilizados são recursos de conhecimento', dados
'Tecnologia transforma dados em informação e informação em conhecimento', dados
'O poder dos dados está na sua análise e interpretação', dados
'Decisões baseadas em dados são o futuro das empresas bem-sucedidas', dados
'Informação é poder e os dados são a chave para desbloqueá-lo', dados
'Na era digital a informação é o recurso mais valioso', dados
'A análise de dados é a bússola que orienta as estratégias empresariais', dados
'Tecnologia e dados juntos criam um ciclo virtuoso de conhecimento e progresso', dados

'Aprendizado de máquina é uma técnica avançada', machine learning
'Aprendizado de máquina é machine learning', machine learning
'Machine learning é legal', machine learning
'Machine Learning é a arte de ensinar as máquinas a aprenderem por conta própria', machine learning
'Dados são o combustível que alimenta os algoritmos de Machine Learning', machine learning
'Com Machine Learning transformamos dados em previsões e previsões em decisões', machine learning
'A tecnologia se adapta e evolui com o tempo', machine learning
'A verdadeira magia do Machine Learning está em sua capacidade de identificar padrões ocultos, machine learning
'Algoritmos de Machine Learning melhoram à medida que são expostos a mais dados', machine learning
'O futuro da inteligência artificial está intrinsecamente ligado ao Machine Learning', machine learning
'Machine Learning é onde a matemática encontra a programação para resolver problemas reais', machine learning
